origin_tweet_full_text,retweet_count
Harini hari first day untuk cucuk Covid vaccine.   Dan setiap participant akan dapat RM660 secara total untuk setiap 6 kali appointment dengan hospital https://t.co/FBSXmRmDpP,11
"Vaksin Covid-19 mengandung chip?  Beberapa hari yang lalu, beredar sebuah video di media sosial yang mencuplik wawancara Menteri BUMN, Erick Thohir, ketika diundang di acara Mata Najwa. Ada narasi bahwa vaksin Covid-19 mengandung chip  Benarkah itu? Cek info dibawah ya 😊 https://t.co/WiFl3pqbQU",11
"""Saya minta untuk berhenti politisasi vaksin, berhenti nasionalisasi vaksin, kita harus terus ingat bahwa vaksin adalah isu kemanusiaan,"" ucap Retno. https://t.co/p8JmysYhpK",10
"@tirta_hudhi Maren liat di Kompas Tv Wuhan,tmpat asal Covid skrg sdh normal. 3 bulan mrk zero new cases.  Sumpah ngiri   Krn warga Wuhan b'satu padu fokus gmn virus ilang. Patuh Lockdown,prokes jd sbagian nafas mrk. Ga ada org keminter kakean cangkem,yg bs jd ahli segala ahli. Indonesia #mbel",10
Pandemi blm selesai.. Masa² sulit ini juga belum berakhir.. Masih ad bnyk bahaya² yg mengintai kita smw  Meski Vaksin sudah ad. Bkn brrti it menjadi alasan agar kita melanggar Prokes  Covid dpt membunuhmu Pilihan ad di kamu. Mw ttp drumah. Atw drumah sakit..??  Drumah lebih Aman https://t.co/PR5mlTKal1,10
"Pakai Kaos Eksklusif yang Cuma Dibuat 2, Ganjar Pranowo Sosialisasikan Vaksin Covid-19 ke Generasi Muda  Bukan Gubernur Jawa Tengah, Ganjar Pranowo, kalau tidak memanfaatkan kreatifitas dalam mengkampanyekan sesuatu. @podjiutami @DSutiyanti @SatyaJogja_ https://t.co/2I5cebQnnd",9
Terima kasih untuk semua nakes yg bekerja tanpa lelah dlm memerangi Covid-19 🙏. Doa yg terbaik bagi semuanya!  Tetap jaga kondisi &amp; sehat selalu!  @bogipratomo @noichil @rulliendo @cak_sugenk @AlvinaRusmayuni @celkop @margaretha_rlin dan lainnya 🙏 https://t.co/UGoFH7CHnB,9
"@khairul_hafidz Sebab tu 20 tahun dari sekarang jangan pelik kalau mangsa dera yang survive, tinggal parents tepi jalan. Jangan pukul rata parents semuanya baik. Lebih lagi zaman covid ni banyak tekanan dari pelbagai pihak.",9
"Tahukah Kamu..??  VAKSINASI JATENG TERBAIK  Jateng dbwh pemerintahan @ganjarpranowo mendapat apresiasi dari Pak Tito Karnavian &amp; @KemenkesRI Budi Gunadi Sadikin krn memiliki cakupan vaksinasi yg tinggi. Rata² mencapai 68,92% . . https://t.co/98crPOUm7f",9
"Kasus baru positif COVID-19 yang tinggi membuat pengusaha tabung oksigen di Kupang, NTT kewalasan penuhi permintaan RS.  https://t.co/vhTP2K3CrB",9
"MUI: Vaksin Covid-19 Sinovac Halal  Majelis Ulama Indonesia (MUI) menyatakan vaksin Covid-19 Sinovac produksi China hukumnya halal. Keputusan tersebut diambil melalui sidang Komisi Fatwa MUI yang digelar di Jakarta, Jumat (8/1). #VaksinasiMelawanPandemi https://t.co/GV0BVDXWj9",9
"1. Alhamdulillah bisa sapa warga Kelurahan #KotaBambuSelatan Kecamatan #Palmerah #JakartaBarat 🙏

Terima kasih kepada Bang Sundjaya dkk yang telah membantu saya dalam pelaksanaan acara doa bersama anak2 Yatim Piatu &amp; Dhuafa di wilayah Kelurahan Kota Bambu Selatan. #JumatBerkah https://t.co/8hQYsc18PK",9
"Ternyata salah satu gejala terjangkit virus corona adalah mengalami kebingungan.   Lha klo bingung karena jomblo terus, apa jg termasuk? 😁😄  Catat! 16 gejala covid-19 paling khas hingga paling tidak kepikiran.   https://t.co/kIbGwmFGiR",9
"Plastik merupakan bahan baku pembuatan APD seperti masker, sarung tangan hingga hazmat. Jumlah produksinya kian masif semenjak pagebluk Covid-19. Akibatnya, plastik medis menambah permasalahan lingkungan sepanjang masa krisis ini.  Bagaimana mengatasinya? https://t.co/p2HqggLnlC",9
Berharap masyarakat termasuk tidak usah takut terhadap vaksin dan tidak usah terpancing oleh berita-berita di medsos tentang efek samping negatif dari vaksin ini yang semuanya itu adalah berita bohong.  Terima Vaksin Taati Prokes #PecatASNTerpaparRadikal https://t.co/6V2r48oTOt,9
"Timbalan pengarah HRW Asia, Phil Robertson menyifatkan Ismail sebagai ‘lambang tindak balas xenofobik’ terhadap wabak Covid-19. #FMTNews #IsmailSabriYaakob #WargaAsing #Covid19 #MKN  https://t.co/bt670OzwFg",9
@YusheDunga3 @aniesbaswedan @hum_initiative @dinkesJKT Bukan bantuan ya! Dan bangga dgn karya anak bangsa  Ganjar Borong 100 GeNose Buatan UGM Seharga Rp 62 Juta  Alat pendeteksi Covid-19 itu merupakan hasil karya anak bangsa dari Universitas Gadjah Mada (UGM) Yogyakarta. @Gus_Raharjo @SatyaJogja_ @kianinara1 https://t.co/TCyrcMAz5A,8
MUI sudah resmi mengeluarkan fatwa kehalalan vaksin virus Covid-19 produksi Sinovac loh..yuk kita sebarkan fatwa MUI ini bagi yang membutuhkannya.. #VaksinasiMelawanPandemi https://t.co/l4l5B2xRik,8
Lalu dilanjutkan bersama forkopimda inspeksi di Kampung Tangguh covid dan inspeksi gakkum di pasar-pasar Karawang.  Mari disiplin sambil menunggu vaksin. https://t.co/g4L0nXLvnO,8
Keadaan kawasan bebas cukai Pengkalan Kubor hari minggu musim Covid-19.  Semoga semua peniaga dan rakyat Kelantan dimurahkan rezeki.  📷 Rizal Tahir https://t.co/fHImKqrOCP,8
"Delirium disebut sebagai gejala baru COVID-19 yang menyerang mental pengidapnya. Kondisi ini dialami oleh sejumlah pasien positif virus Corona, khususnya lansia. Delirium adalah gejala mental yang membuat penderitanya mengalami kebingungan berat dengan kesadaran yang berkurang. https://t.co/irTRPG0lNB",8
